CTCQS3CKSKHole pair | Strategy
C2C3 | [0.  0.5 0.1 0.4]
C2C4 | [0.  0.5 0.1 0.4]
C2C5 | [0.  0.5 0.1 0.4]
C2C6 | [0.  0.5 0.1 0.4]
C2C7 | [0.  0.5 0.1 0.4]
C2C8 | [0.         0.45340476 0.2        0.34659524]
C2C9 | [0.         0.45703648 0.2        0.34296352]
C2CT | [0.25 0.25 0.25 0.25]
C2CJ | [0.         0.45984314 0.2        0.34015686]
C2CQ | [0.25 0.25 0.25 0.25]
C2CK | [0.25 0.25 0.25 0.25]
C2CA | [0.         0.43916175 0.22379285 0.3370454 ]
C2D2 | [0.12423021 0.34176707 0.33652479 0.19747794]
C2D3 | [0.12380087 0.29837391 0.3338336  0.24399162]
C2D4 | [0.02118726 0.         0.         0.97881274]
C2D5 | [0.01120063 0.         0.         0.98879937]
C2D6 | [0.07028986 0.03333333 0.03333333 0.86304348]
C2D7 | [0.14080561 0.06615363 0.06692319 0.72611758]
C2D8 | [0.20170243 0.09514669 0.11285866 0.59029222]
C2D9 | [0.30135355 0.25005402 0.12930451 0.31928792]
C2DT | [0.02823872 0.29132036 0.03093415 0.64950677]
C2DJ | [0.18594017 0.40801776 0.19565021 0.21039187]
C2DQ | [0.07187842 0.28093896 0.13044902 0.51673359]
C2DK | [0.  0.3 0.1 0.6]
C2DA | [0.17495196 0.25074944 0.33645304 0.23784556]
C2H2 | [0.12423021 0.34176707 0.33652479 0.19747794]
C2H3 | [0.12380087 0.29837391 0.3338336  0.24399162]
C2H4 | [0.02118726 0.         0.         0.97881274]
C2H5 | [0.01120063 0.         0.         0.98879937]
C2H6 | [0.07028986 0.03333333 0.03333333 0.86304348]
C2H7 | [0.14080561 0.06615363 0.06692319 0.72611758]
C2H8 | [0.20170243 0.09514669 0.11285866 0.59029222]
C2H9 | [0.30135355 0.25005402 0.12930451 0.31928792]
C2HT | [0.02823872 0.29132036 0.03093415 0.64950677]
C2HJ | [0.18594017 0.40801776 0.19565021 0.21039187]
C2HQ | [0.07187842 0.28093896 0.13044902 0.51673359]
