Sums: 484.65188728135234, 271.70111246987835 
CTCQS3CKSKHole pair | V_1 | V_2
C9CJ | 7.906344795255988 | 7.6615052056738975 
CJCA | 7.841543602656962 | 7.573553022921315 
D3H3 | 7.574856313855101 | 6.930308528591892 
C3D3 | 7.361572443816987 | 6.4821392872698445 
C3H3 | 7.361572443816986 | 6.4821392872698445 
D3HK | 7.315703667495335 | 5.88035076909702 
H3HK | 7.315703667495335 | 5.880350769097019 
D3DK | 7.315703667495331 | 5.88035076909702 
DKH3 | 7.315703667495329 | 5.88035076909702 
DTHK | 6.858540661489068 | 6.171972865840015 
HKST | 6.858540661489066 | 6.171972865840015 
DTDK | 6.858540661489064 | 6.171972865840015 
DKST | 6.858540661489064 | 6.171972865840015 
HTHK | 6.858540661489064 | 6.171972865840015 
DKHT | 6.858540661489062 | 6.171972865840015 
HKSQ | 6.69418372828944 | 6.567900612017194 
DKSQ | 6.694183728289437 | 6.567900612017194 
DQHK | 6.6941837282894365 | 6.567900612017194 
DKHQ | 6.6941837282894365 | 6.567900612017194 
HQHK | 6.6941837282894365 | 6.567900612017194 
DQDK | 6.694183728289435 | 6.567900612017194 
C3HK | 6.660731113207851 | 5.387924640701075 
C3DK | 6.660731113207849 | 5.387924640701075 
C3CA | 6.593809177212333 | 5.394558349118511 
DTST | 6.522923972877603 | 7.2272543382247765 
HTST | 6.522923972877601 | 7.2272543382247765 
DTHT | 6.522923972877599 | 7.2272543382247765 
C3C9 | 6.42972252432228 | 4.722009622042307 
C8CJ | 6.371937606743343 | 4.731276394742978 
C2CJ | 6.3686857473998675 | 4.876821676018563 
C6CJ | 6.36859167114889 | 4.878356678500847 
C4CJ | 6.368572248728032 | 4.878357718059267 
C5CJ | 6.368570908804992 | 4.878357354614473 
C7CJ | 6.367353917868279 | 4.881139494796998 
C3C8 | 6.271378625459283 | 4.222974865575778 
C8C9 | 6.240844220827514 | 4.286035632216519 
C2C9 | 6.2375923614840385 | 4.431580913492104 
C6C9 | 6.237498285233061 | 4.433115915974388 
